Date,Weekday,Holiday,Month,Season,Temperature,Humidity,Windy,Outlook,Crowdedness,EmailCampaign,MaintenanceTask,ID,Play,PlayTimeHour,Review
2021-01-02,5,0,Jan,Winter,2.9,53.0,0,sunny,0.74,Beautiful sunny day ahead with 2.9°C! Perfect for golfing in January. Hope to see you on the green soon!,[],D,0,0.0,
2021-01-02,5,0,Jan,Winter,2.9,53.0,0,sunny,0.74,Beautiful sunny day ahead with 2.9°C! Perfect for golfing in January. Hope to see you on the green soon!,[],E,0,0.0,
2021-01-02,5,0,Jan,Winter,2.9,53.0,0,sunny,0.74,Beautiful sunny day ahead with 2.9°C! Perfect for golfing in January. Hope to see you on the green soon!,[],F,0,0.0,
2021-01-02,5,0,Jan,Winter,2.9,53.0,0,sunny,0.74,Beautiful sunny day ahead with 2.9°C! Perfect for golfing in January. Hope to see you on the green soon!,[],G,0,0.0,
2021-01-03,6,0,Jan,Winter,2.3,58.0,0,overcast,0.7,"Overcast skies today but don't let that keep you away! At 2.3°C, it's just right for a cozy winter round.",[],A,0,0.0,
2021-01-03,6,0,Jan,Winter,2.3,58.0,0,overcast,0.7,"Overcast skies today but don't let that keep you away! At 2.3°C, it's just right for a cozy winter round.",[],B,0,0.0,
2021-01-03,6,0,Jan,Winter,2.3,58.0,0,overcast,0.7,"Overcast skies today but don't let that keep you away! At 2.3°C, it's just right for a cozy winter round.",[],C,1,4.6,"The overcast sky acted as a natural diffuser, making for even light conditions. The 58% humidity was a tad high, but not unbearable. Playing time of 4.6 hours felt just right."
2021-01-03,6,0,Jan,Winter,2.3,58.0,0,overcast,0.7,"Overcast skies today but don't let that keep you away! At 2.3°C, it's just right for a cozy winter round.",[],D,0,0.0,
2021-01-03,6,0,Jan,Winter,2.3,58.0,0,overcast,0.7,"Overcast skies today but don't let that keep you away! At 2.3°C, it's just right for a cozy winter round.",[],E,0,0.0,
2021-01-03,6,0,Jan,Winter,2.3,58.0,0,overcast,0.7,"Overcast skies today but don't let that keep you away! At 2.3°C, it's just right for a cozy winter round.",[],F,0,0.0,
2021-01-03,6,0,Jan,Winter,2.3,58.0,0,overcast,0.7,"Overcast skies today but don't let that keep you away! At 2.3°C, it's just right for a cozy winter round.",[],G,0,0.0,
2021-01-04,0,0,Jan,Winter,3.0,45.0,0,overcast,0.61,Another overcast day with 3°C. Great conditions for those who prefer a less sunny winter golfing experience.,['Equipment Checks'],A,0,0.0,
2021-01-04,0,0,Jan,Winter,3.0,45.0,0,overcast,0.61,Another overcast day with 3°C. Great conditions for those who prefer a less sunny winter golfing experience.,['Equipment Checks'],B,0,0.0,
2021-01-04,0,0,Jan,Winter,3.0,45.0,0,overcast,0.61,Another overcast day with 3°C. Great conditions for those who prefer a less sunny winter golfing experience.,['Equipment Checks'],C,0,0.0,
2021-01-04,0,0,Jan,Winter,3.0,45.0,0,overcast,0.61,Another overcast day with 3°C. Great conditions for those who prefer a less sunny winter golfing experience.,['Equipment Checks'],D,0,0.0,
2021-01-04,0,0,Jan,Winter,3.0,45.0,0,overcast,0.61,Another overcast day with 3°C. Great conditions for those who prefer a less sunny winter golfing experience.,['Equipment Checks'],E,0,0.0,
2021-01-04,0,0,Jan,Winter,3.0,45.0,0,overcast,0.61,Another overcast day with 3°C. Great conditions for those who prefer a less sunny winter golfing experience.,['Equipment Checks'],F,0,0.0,
2021-01-04,0,0,Jan,Winter,3.0,45.0,0,overcast,0.61,Another overcast day with 3°C. Great conditions for those who prefer a less sunny winter golfing experience.,['Equipment Checks'],G,0,0.0,
2021-01-05,1,0,Jan,Winter,3.1,31.0,1,sunny,0.52,Clear skies and 3.1°C! Dust off your clubs and make your way to the course for a sunny winter game.,['Driving Range Net Checking'],A,0,0.0,
2021-01-05,1,0,Jan,Winter,3.1,31.0,1,sunny,0.52,Clear skies and 3.1°C! Dust off your clubs and make your way to the course for a sunny winter game.,['Driving Range Net Checking'],B,0,0.0,
2021-01-05,1,0,Jan,Winter,3.1,31.0,1,sunny,0.52,Clear skies and 3.1°C! Dust off your clubs and make your way to the course for a sunny winter game.,['Driving Range Net Checking'],C,0,0.0,
2021-01-05,1,0,Jan,Winter,3.1,31.0,1,sunny,0.52,Clear skies and 3.1°C! Dust off your clubs and make your way to the course for a sunny winter game.,['Driving Range Net Checking'],D,0,0.0,
2021-01-05,1,0,Jan,Winter,3.1,31.0,1,sunny,0.52,Clear skies and 3.1°C! Dust off your clubs and make your way to the course for a sunny winter game.,['Driving Range Net Checking'],E,1,2.8,"Today provided a refreshing blend of sunshine and temperate conditions. With a favorable 3.1°C and a low humidity of 31%, the day lent itself to a game in its purest form."
2021-01-05,1,0,Jan,Winter,3.1,31.0,1,sunny,0.52,Clear skies and 3.1°C! Dust off your clubs and make your way to the course for a sunny winter game.,['Driving Range Net Checking'],F,0,0.0,
2021-01-05,1,0,Jan,Winter,3.1,31.0,1,sunny,0.52,Clear skies and 3.1°C! Dust off your clubs and make your way to the course for a sunny winter game.,['Driving Range Net Checking'],G,0,0.0,
2021-01-06,2,0,Jan,Winter,2.1,35.0,0,sunny,0.55,Sunny but slightly chilly at 2.1°C. Good thing the winter layers will keep you warm on the course!,['Sprinkler Checks'],A,1,3.2,What a day! A crisp 2.1°C and sunshine galore! No wind means my swings were as smooth as ever. I'm thrilled!
2021-01-06,2,0,Jan,Winter,2.1,35.0,0,sunny,0.55,Sunny but slightly chilly at 2.1°C. Good thing the winter layers will keep you warm on the course!,['Sprinkler Checks'],B,0,0.0,
2021-01-06,2,0,Jan,Winter,2.1,35.0,0,sunny,0.55,Sunny but slightly chilly at 2.1°C. Good thing the winter layers will keep you warm on the course!,['Sprinkler Checks'],C,0,0.0,
2021-01-06,2,0,Jan,Winter,2.1,35.0,0,sunny,0.55,Sunny but slightly chilly at 2.1°C. Good thing the winter layers will keep you warm on the course!,['Sprinkler Checks'],D,0,0.0,
2021-01-06,2,0,Jan,Winter,2.1,35.0,0,sunny,0.55,Sunny but slightly chilly at 2.1°C. Good thing the winter layers will keep you warm on the course!,['Sprinkler Checks'],E,1,3.4,"A distinct briskness in the air today did little to detract from the exquisite sunlit conditions. With a 2.1°C temperature, every swing was a reminder of golf's timeless allure."
2021-01-06,2,0,Jan,Winter,2.1,35.0,0,sunny,0.55,Sunny but slightly chilly at 2.1°C. Good thing the winter layers will keep you warm on the course!,['Sprinkler Checks'],F,0,0.0,
2021-01-06,2,0,Jan,Winter,2.1,35.0,0,sunny,0.55,Sunny but slightly chilly at 2.1°C. Good thing the winter layers will keep you warm on the course!,['Sprinkler Checks'],G,0,0.0,
2021-01-07,3,0,Jan,Winter,1.2,36.0,1,snow,0.42,"Let it snow, let it snow! The golf course is a winter wonderland at 1.2°C. Who's up for a snowy challenge?","['Drainage Checks', 'Snow Cleaning']",A,0,0.0,
2021-01-07,3,0,Jan,Winter,1.2,36.0,1,snow,0.42,"Let it snow, let it snow! The golf course is a winter wonderland at 1.2°C. Who's up for a snowy challenge?","['Drainage Checks', 'Snow Cleaning']",B,0,0.0,
2021-01-07,3,0,Jan,Winter,1.2,36.0,1,snow,0.42,"Let it snow, let it snow! The golf course is a winter wonderland at 1.2°C. Who's up for a snowy challenge?","['Drainage Checks', 'Snow Cleaning']",C,0,0.0,
2021-01-07,3,0,Jan,Winter,1.2,36.0,1,snow,0.42,"Let it snow, let it snow! The golf course is a winter wonderland at 1.2°C. Who's up for a snowy challenge?","['Drainage Checks', 'Snow Cleaning']",D,0,0.0,
2021-01-07,3,0,Jan,Winter,1.2,36.0,1,snow,0.42,"Let it snow, let it snow! The golf course is a winter wonderland at 1.2°C. Who's up for a snowy challenge?","['Drainage Checks', 'Snow Cleaning']",E,0,0.0,
2021-01-07,3,0,Jan,Winter,1.2,36.0,1,snow,0.42,"Let it snow, let it snow! The golf course is a winter wonderland at 1.2°C. Who's up for a snowy challenge?","['Drainage Checks', 'Snow Cleaning']",F,0,0.0,
2021-01-07,3,0,Jan,Winter,1.2,36.0,1,snow,0.42,"Let it snow, let it snow! The golf course is a winter wonderland at 1.2°C. Who's up for a snowy challenge?","['Drainage Checks', 'Snow Cleaning']",G,0,0.0,
2021-01-08,4,0,Jan,Winter,-0.2,56.0,1,snow,0.44,Bundle up for today's snowy conditions! The course is open even at -0.2°C. A unique winter golfing adventure awaits!,"['Cleaning Amenities', 'Snow Cleaning', 'Signage and Marker Maintenance']",A,0,0.0,
2021-01-08,4,0,Jan,Winter,-0.2,56.0,1,snow,0.44,Bundle up for today's snowy conditions! The course is open even at -0.2°C. A unique winter golfing adventure awaits!,"['Cleaning Amenities', 'Snow Cleaning', 'Signage and Marker Maintenance']",B,0,0.0,
2021-01-08,4,0,Jan,Winter,-0.2,56.0,1,snow,0.44,Bundle up for today's snowy conditions! The course is open even at -0.2°C. A unique winter golfing adventure awaits!,"['Cleaning Amenities', 'Snow Cleaning', 'Signage and Marker Maintenance']",C,0,0.0,
2021-01-08,4,0,Jan,Winter,-0.2,56.0,1,snow,0.44,Bundle up for today's snowy conditions! The course is open even at -0.2°C. A unique winter golfing adventure awaits!,"['Cleaning Amenities', 'Snow Cleaning', 'Signage and Marker Maintenance']",D,1,3.5,"A day of icy splendor! The snow underfoot, crisp and treacherous, was like a fierce rival urging me to up my game. Ah, the freezing air and snowy terrain—a duel with winter itself!"
2021-01-08,4,0,Jan,Winter,-0.2,56.0,1,snow,0.44,Bundle up for today's snowy conditions! The course is open even at -0.2°C. A unique winter golfing adventure awaits!,"['Cleaning Amenities', 'Snow Cleaning', 'Signage and Marker Maintenance']",E,0,0.0,
2021-01-08,4,0,Jan,Winter,-0.2,56.0,1,snow,0.44,Bundle up for today's snowy conditions! The course is open even at -0.2°C. A unique winter golfing adventure awaits!,"['Cleaning Amenities', 'Snow Cleaning', 'Signage and Marker Maintenance']",F,1,3.7,"Ah, the frigid air and powdery snow! Just a touch below zero, but who's counting when every swing feels like slicing through a frosty dreamscape!"
2021-01-08,4,0,Jan,Winter,-0.2,56.0,1,snow,0.44,Bundle up for today's snowy conditions! The course is open even at -0.2°C. A unique winter golfing adventure awaits!,"['Cleaning Amenities', 'Snow Cleaning', 'Signage and Marker Maintenance']",G,0,0.0,
2021-01-09,5,0,Jan,Winter,-0.6,51.0,1,sunny,0.62,"Gorgeous sunny day despite the chill. At -0.6°C, it's the perfect time for winter golfing under the sun!",['Restroom Cleaning'],A,0,0.0,
2021-01-09,5,0,Jan,Winter,-0.6,51.0,1,sunny,0.62,"Gorgeous sunny day despite the chill. At -0.6°C, it's the perfect time for winter golfing under the sun!",['Restroom Cleaning'],B,0,0.0,
2021-01-09,5,0,Jan,Winter,-0.6,51.0,1,sunny,0.62,"Gorgeous sunny day despite the chill. At -0.6°C, it's the perfect time for winter golfing under the sun!",['Restroom Cleaning'],C,0,0.0,
2021-01-09,5,0,Jan,Winter,-0.6,51.0,1,sunny,0.62,"Gorgeous sunny day despite the chill. At -0.6°C, it's the perfect time for winter golfing under the sun!",['Restroom Cleaning'],D,1,3.6,"Ah, the sun breaking through the chill! It glistened like molten gold on my club as I teed off, lending warmth to a frosty morning. An adventure crafted in hues of amber and icy blue!"
2021-01-09,5,0,Jan,Winter,-0.6,51.0,1,sunny,0.62,"Gorgeous sunny day despite the chill. At -0.6°C, it's the perfect time for winter golfing under the sun!",['Restroom Cleaning'],E,0,0.0,
2021-01-09,5,0,Jan,Winter,-0.6,51.0,1,sunny,0.62,"Gorgeous sunny day despite the chill. At -0.6°C, it's the perfect time for winter golfing under the sun!",['Restroom Cleaning'],F,1,3.3,"A brisk sun above and crunchy ground below! The thrill of the chill makes every putt a mini-adventure! Sub-zero temps? More like sub-zero inhibitions, am I right?"
2021-01-09,5,0,Jan,Winter,-0.6,51.0,1,sunny,0.62,"Gorgeous sunny day despite the chill. At -0.6°C, it's the perfect time for winter golfing under the sun!",['Restroom Cleaning'],G,0,0.0,
2021-01-10,6,0,Jan,Winter,-0.4,59.0,0,snow,0.52,"Snow's back on the course! At -0.4°C, it's a winter paradise. Come show off your skills in the snow!",['Snow Cleaning'],A,0,0.0,
2021-01-10,6,0,Jan,Winter,-0.4,59.0,0,snow,0.52,"Snow's back on the course! At -0.4°C, it's a winter paradise. Come show off your skills in the snow!",['Snow Cleaning'],B,0,0.0,
2021-01-10,6,0,Jan,Winter,-0.4,59.0,0,snow,0.52,"Snow's back on the course! At -0.4°C, it's a winter paradise. Come show off your skills in the snow!",['Snow Cleaning'],C,0,0.0,
2021-01-10,6,0,Jan,Winter,-0.4,59.0,0,snow,0.52,"Snow's back on the course! At -0.4°C, it's a winter paradise. Come show off your skills in the snow!",['Snow Cleaning'],D,0,0.0,
2021-01-10,6,0,Jan,Winter,-0.4,59.0,0,snow,0.52,"Snow's back on the course! At -0.4°C, it's a winter paradise. Come show off your skills in the snow!",['Snow Cleaning'],E,0,0.0,
2021-01-10,6,0,Jan,Winter,-0.4,59.0,0,snow,0.52,"Snow's back on the course! At -0.4°C, it's a winter paradise. Come show off your skills in the snow!",['Snow Cleaning'],F,1,3.4,"Snowflakes dancing like sugar plums on my nine iron! With the sky dropping winter's blessings, my putts were like poetry written in the snow!"
2021-01-10,6,0,Jan,Winter,-0.4,59.0,0,snow,0.52,"Snow's back on the course! At -0.4°C, it's a winter paradise. Come show off your skills in the snow!",['Snow Cleaning'],G,0,0.0,
2021-01-11,0,1,Jan,Winter,0.3,69.0,0,snow,0.51,Special Holiday Alert! It's a snowy day with a temperature of 0.3°C. What better way to spend the holiday than on the course?,"['Drainage Checks', 'Snow Cleaning']",A,0,0.0,
2021-01-11,0,1,Jan,Winter,0.3,69.0,0,snow,0.51,Special Holiday Alert! It's a snowy day with a temperature of 0.3°C. What better way to spend the holiday than on the course?,"['Drainage Checks', 'Snow Cleaning']",B,0,0.0,
2021-01-11,0,1,Jan,Winter,0.3,69.0,0,snow,0.51,Special Holiday Alert! It's a snowy day with a temperature of 0.3°C. What better way to spend the holiday than on the course?,"['Drainage Checks', 'Snow Cleaning']",C,0,0.0,
2021-01-11,0,1,Jan,Winter,0.3,69.0,0,snow,0.51,Special Holiday Alert! It's a snowy day with a temperature of 0.3°C. What better way to spend the holiday than on the course?,"['Drainage Checks', 'Snow Cleaning']",D,0,0.0,
2021-01-11,0,1,Jan,Winter,0.3,69.0,0,snow,0.51,Special Holiday Alert! It's a snowy day with a temperature of 0.3°C. What better way to spend the holiday than on the course?,"['Drainage Checks', 'Snow Cleaning']",E,0,0.0,
2021-01-11,0,1,Jan,Winter,0.3,69.0,0,snow,0.51,Special Holiday Alert! It's a snowy day with a temperature of 0.3°C. What better way to spend the holiday than on the course?,"['Drainage Checks', 'Snow Cleaning']",F,0,0.0,
2021-01-11,0,1,Jan,Winter,0.3,69.0,0,snow,0.51,Special Holiday Alert! It's a snowy day with a temperature of 0.3°C. What better way to spend the holiday than on the course?,"['Drainage Checks', 'Snow Cleaning']",G,0,0.0,
2021-01-12,1,0,Jan,Winter,2.6,50.0,1,overcast,0.45,A bit overcast today with a temperature of 2.6°C. The perfect setting for a quiet round of golf.,['Equipment Checks'],A,0,0.0,
2021-01-12,1,0,Jan,Winter,2.6,50.0,1,overcast,0.45,A bit overcast today with a temperature of 2.6°C. The perfect setting for a quiet round of golf.,['Equipment Checks'],B,0,0.0,
2021-01-12,1,0,Jan,Winter,2.6,50.0,1,overcast,0.45,A bit overcast today with a temperature of 2.6°C. The perfect setting for a quiet round of golf.,['Equipment Checks'],C,0,0.0,
2021-01-12,1,0,Jan,Winter,2.6,50.0,1,overcast,0.45,A bit overcast today with a temperature of 2.6°C. The perfect setting for a quiet round of golf.,['Equipment Checks'],D,1,3.3,"Today was like a theatre of shadows and light—overcast skies threatening, but my spirit was unbreakable. Every swing was a brushstroke on the canvas of this grey, dramatic day!"
2021-01-12,1,0,Jan,Winter,2.6,50.0,1,overcast,0.45,A bit overcast today with a temperature of 2.6°C. The perfect setting for a quiet round of golf.,['Equipment Checks'],E,0,0.0,
2021-01-12,1,0,Jan,Winter,2.6,50.0,1,overcast,0.45,A bit overcast today with a temperature of 2.6°C. The perfect setting for a quiet round of golf.,['Equipment Checks'],F,0,0.0,
2021-01-12,1,0,Jan,Winter,2.6,50.0,1,overcast,0.45,A bit overcast today with a temperature of 2.6°C. The perfect setting for a quiet round of golf.,['Equipment Checks'],G,0,0.0,
2021-01-13,2,0,Jan,Winter,5.1,38.0,0,overcast,0.58,"Despite the overcast skies and 5.1°C, the conditions are excellent for winter golfing. Come and enjoy!",['Sprinkler Checks'],A,0,0.0,
2021-01-13,2,0,Jan,Winter,5.1,38.0,0,overcast,0.58,"Despite the overcast skies and 5.1°C, the conditions are excellent for winter golfing. Come and enjoy!",['Sprinkler Checks'],B,0,0.0,
2021-01-13,2,0,Jan,Winter,5.1,38.0,0,overcast,0.58,"Despite the overcast skies and 5.1°C, the conditions are excellent for winter golfing. Come and enjoy!",['Sprinkler Checks'],C,0,0.0,
2021-01-13,2,0,Jan,Winter,5.1,38.0,0,overcast,0.58,"Despite the overcast skies and 5.1°C, the conditions are excellent for winter golfing. Come and enjoy!",['Sprinkler Checks'],D,0,0.0,
2021-01-13,2,0,Jan,Winter,5.1,38.0,0,overcast,0.58,"Despite the overcast skies and 5.1°C, the conditions are excellent for winter golfing. Come and enjoy!",['Sprinkler Checks'],E,0,0.0,
2021-01-13,2,0,Jan,Winter,5.1,38.0,0,overcast,0.58,"Despite the overcast skies and 5.1°C, the conditions are excellent for winter golfing. Come and enjoy!",['Sprinkler Checks'],F,0,0.0,
2021-01-13,2,0,Jan,Winter,5.1,38.0,0,overcast,0.58,"Despite the overcast skies and 5.1°C, the conditions are excellent for winter golfing. Come and enjoy!",['Sprinkler Checks'],G,0,0.0,
2021-01-14,3,0,Jan,Winter,5.5,62.0,0,rainy,0.44,It's a rainy day at 5.5°C. Time to show off those wet weather golfing skills!,['Range Ball Cleaning'],A,0,0.0,
2021-01-14,3,0,Jan,Winter,5.5,62.0,0,rainy,0.44,It's a rainy day at 5.5°C. Time to show off those wet weather golfing skills!,['Range Ball Cleaning'],B,0,0.0,
2021-01-14,3,0,Jan,Winter,5.5,62.0,0,rainy,0.44,It's a rainy day at 5.5°C. Time to show off those wet weather golfing skills!,['Range Ball Cleaning'],C,0,0.0,
2021-01-14,3,0,Jan,Winter,5.5,62.0,0,rainy,0.44,It's a rainy day at 5.5°C. Time to show off those wet weather golfing skills!,['Range Ball Cleaning'],D,0,0.0,
2021-01-14,3,0,Jan,Winter,5.5,62.0,0,rainy,0.44,It's a rainy day at 5.5°C. Time to show off those wet weather golfing skills!,['Range Ball Cleaning'],E,0,0.0,
2021-01-14,3,0,Jan,Winter,5.5,62.0,0,rainy,0.44,It's a rainy day at 5.5°C. Time to show off those wet weather golfing skills!,['Range Ball Cleaning'],F,0,0.0,
2021-01-14,3,0,Jan,Winter,5.5,62.0,0,rainy,0.44,It's a rainy day at 5.5°C. Time to show off those wet weather golfing skills!,['Range Ball Cleaning'],G,0,0.0,
2021-01-15,4,0,Jan,Winter,4.5,52.0,0,overcast,0.57,"Today's overcast skies are a golfer's delight! Moderate temperature at 4.5°C, ideal for a winter round.","['Equipment Checks', 'Restroom Cleaning', 'First Aid Kit Replenishment']",A,1,3.1,"Today was a bit overcast, but who cares when you're out on the greens? The temperature was 4.5°C of pure joy! Amazing!"
2021-01-15,4,0,Jan,Winter,4.5,52.0,0,overcast,0.57,"Today's overcast skies are a golfer's delight! Moderate temperature at 4.5°C, ideal for a winter round.","['Equipment Checks', 'Restroom Cleaning', 'First Aid Kit Replenishment']",B,1,3.1,"A delicate layer of overcast graced the firmament, inspiring a comforting stillness. The pallor of the winter sun faded, blending seamlessly with the day's quietude. A sublime dance of swing and serenity."
2021-01-15,4,0,Jan,Winter,4.5,52.0,0,overcast,0.57,"Today's overcast skies are a golfer's delight! Moderate temperature at 4.5°C, ideal for a winter round.","['Equipment Checks', 'Restroom Cleaning', 'First Aid Kit Replenishment']",C,1,4.7,"The overcast sky kept the glare down, which was pleasant. However, the 52% humidity felt a bit on the heavy side during the round. Overall, 4.7 hours of agreeable play."
2021-01-15,4,0,Jan,Winter,4.5,52.0,0,overcast,0.57,"Today's overcast skies are a golfer's delight! Moderate temperature at 4.5°C, ideal for a winter round.","['Equipment Checks', 'Restroom Cleaning', 'First Aid Kit Replenishment']",D,0,0.0,
2021-01-15,4,0,Jan,Winter,4.5,52.0,0,overcast,0.57,"Today's overcast skies are a golfer's delight! Moderate temperature at 4.5°C, ideal for a winter round.","['Equipment Checks', 'Restroom Cleaning', 'First Aid Kit Replenishment']",E,0,0.0,
2021-01-15,4,0,Jan,Winter,4.5,52.0,0,overcast,0.57,"Today's overcast skies are a golfer's delight! Moderate temperature at 4.5°C, ideal for a winter round.","['Equipment Checks', 'Restroom Cleaning', 'First Aid Kit Replenishment']",F,0,0.0,
2021-01-15,4,0,Jan,Winter,4.5,52.0,0,overcast,0.57,"Today's overcast skies are a golfer's delight! Moderate temperature at 4.5°C, ideal for a winter round.","['Equipment Checks', 'Restroom Cleaning', 'First Aid Kit Replenishment']",G,0,0.0,
2021-01-16,5,0,Jan,Winter,1.8,34.0,0,overcast,0.65,"Overcast but dry, and 1.8°C. These are the calm winter days that golfers live for.","['Cleaning Amenities', 'Windsock and Flag Maintenance']",A,1,3.2,"What a wonderful winter's day at 1.8°C! Overcast or not, nothing could dim my spirits or my swings! Golf is life!"
2021-01-16,5,0,Jan,Winter,1.8,34.0,0,overcast,0.65,"Overcast but dry, and 1.8°C. These are the calm winter days that golfers live for.","['Cleaning Amenities', 'Windsock and Flag Maintenance']",B,0,0.0,
2021-01-16,5,0,Jan,Winter,1.8,34.0,0,overcast,0.65,"Overcast but dry, and 1.8°C. These are the calm winter days that golfers live for.","['Cleaning Amenities', 'Windsock and Flag Maintenance']",C,1,4.7,"Cloud cover today made for softer lighting. While the temperature was a bit chilly at 1.8°C, the low 34% humidity made it manageable. Completed the round in 4.7 hours."
2021-01-16,5,0,Jan,Winter,1.8,34.0,0,overcast,0.65,"Overcast but dry, and 1.8°C. These are the calm winter days that golfers live for.","['Cleaning Amenities', 'Windsock and Flag Maintenance']",D,0,0.0,
2021-01-16,5,0,Jan,Winter,1.8,34.0,0,overcast,0.65,"Overcast but dry, and 1.8°C. These are the calm winter days that golfers live for.","['Cleaning Amenities', 'Windsock and Flag Maintenance']",E,0,0.0,
2021-01-16,5,0,Jan,Winter,1.8,34.0,0,overcast,0.65,"Overcast but dry, and 1.8°C. These are the calm winter days that golfers live for.","['Cleaning Amenities', 'Windsock and Flag Maintenance']",F,1,3.1,"The air's cold but my enthusiasm’s on fire! Each swing set loose a volley of tiny snow fireworks, and oh, how they shimmered in the overcast light!"
2021-01-16,5,0,Jan,Winter,1.8,34.0,0,overcast,0.65,"Overcast but dry, and 1.8°C. These are the calm winter days that golfers live for.","['Cleaning Amenities', 'Windsock and Flag Maintenance']",G,0,0.0,
2021-01-17,6,0,Jan,Winter,-0.7,61.0,0,snow,0.44,Snowy skies and -0.7°C. Embrace the winter wonderland for a magical round of golf!,['Snow Cleaning'],A,0,0.0,
2021-01-17,6,0,Jan,Winter,-0.7,61.0,0,snow,0.44,Snowy skies and -0.7°C. Embrace the winter wonderland for a magical round of golf!,['Snow Cleaning'],B,0,0.0,
2021-01-17,6,0,Jan,Winter,-0.7,61.0,0,snow,0.44,Snowy skies and -0.7°C. Embrace the winter wonderland for a magical round of golf!,['Snow Cleaning'],C,0,0.0,
2021-01-17,6,0,Jan,Winter,-0.7,61.0,0,snow,0.44,Snowy skies and -0.7°C. Embrace the winter wonderland for a magical round of golf!,['Snow Cleaning'],D,0,0.0,
2021-01-17,6,0,Jan,Winter,-0.7,61.0,0,snow,0.44,Snowy skies and -0.7°C. Embrace the winter wonderland for a magical round of golf!,['Snow Cleaning'],E,0,0.0,
2021-01-17,6,0,Jan,Winter,-0.7,61.0,0,snow,0.44,Snowy skies and -0.7°C. Embrace the winter wonderland for a magical round of golf!,['Snow Cleaning'],F,1,3.5,The world a blank canvas of snow and my golf ball the paintbrush! Feeling like a master artist as each stroke carved a unique tale on this frozen tableau!
2021-01-17,6,0,Jan,Winter,-0.7,61.0,0,snow,0.44,Snowy skies and -0.7°C. Embrace the winter wonderland for a magical round of golf!,['Snow Cleaning'],G,0,0.0,
2021-01-18,0,0,Jan,Winter,-0.9,51.0,1,overcast,0.43,"A bit gloomy and overcast at -0.9°C. But remember, a bad day of golf still beats a good day at the office!",[],A,0,0.0,
2021-01-18,0,0,Jan,Winter,-0.9,51.0,1,overcast,0.43,"A bit gloomy and overcast at -0.9°C. But remember, a bad day of golf still beats a good day at the office!",[],B,0,0.0,
